iter	RMSE
0	0.3967386103
1	0.3939512695
2	0.3913243484
3	0.3886728009
4	0.3860012075
5	0.3834367686
6	0.3809486309
7	0.3784432758
8	0.3758756304
9	0.373397867
10	0.3709071951
11	0.3685062002
12	0.3661784003
13	0.3637931989
14	0.3614098437
15	0.3590593941
16	0.3566917206
17	0.3543376149
18	0.3520443122
19	0.349726754
20	0.3475284781
21	0.345341676
22	0.3430708158
23	0.3408863485
24	0.3387563193
25	0.3366685146
26	0.3344744351
27	0.3324431463
28	0.3302991045
29	0.3281790585
30	0.3261941645
31	0.324260489
32	0.3223040505
33	0.3203017394
34	0.3182999304
35	0.316349647
36	0.3144139847
37	0.3125756675
38	0.3106539148
39	0.3088975183
40	0.3069675
41	0.3051259964
42	0.3033537065
43	0.3015111215
44	0.2997445814
45	0.2980077103
46	0.296259892
47	0.2946696459
48	0.2929255365
49	0.2911739421
50	0.2894390911
51	0.2876588382
52	0.2858983449
53	0.2842008401
54	0.2825679484
55	0.2808822154
56	0.2794241893
57	0.2779176664
58	0.2763769073
59	0.2747546816
60	0.273277161
61	0.2718134296
62	0.2702567599
63	0.2687745061
64	0.2672873468
65	0.2658900188
66	0.2644508578
67	0.262955411
68	0.2615866798
69	0.2601908305
70	0.2587643349
71	0.2574079074
72	0.256038386
73	0.2546852521
74	0.2533195179
75	0.2519786232
76	0.2505908872
77	0.2491867733
78	0.2479622914
79	0.2465668064
80	0.2452969814
81	0.243993661
82	0.2427746192
83	0.2415047523
84	0.2402602022
85	0.2389790953
86	0.2377802961
87	0.2364447585
88	0.2353157315
89	0.234064729
90	0.2328490872
91	0.231670452
92	0.2304826414
93	0.2293710337
94	0.2283357099
95	0.2271646438
96	0.2259791405
97	0.2248902367
98	0.2237434047
99	0.2226512089
100	0.2216246064
101	0.2205633567
102	0.2195056891
103	0.2184629231
104	0.2173614112
105	0.2163983139
106	0.2154688306
107	0.2144753184
108	0.2135050952
109	0.2124843048
110	0.2114938776
111	0.210576642
112	0.2096507511
113	0.2086575163
114	0.2077404675
115	0.206784308
116	0.2058697949
117	0.2049641852
118	0.2040916888
119	0.2032338664
120	0.2023530367
121	0.2014192593
122	0.2005760625
123	0.1996938352
124	0.1988517224
125	0.1980240506
126	0.1971275127
127	0.19631774
128	0.1954881245
129	0.1946971411
